gene_symbol,HealthyLungBiopsy_2,HealthyLungBiopsy_1,COVID19Lung_2,COVID19Lung_1
DDX11L1,0,0,0,0
WASH7P,132.436139815355,36.4459255481256,0,0
FAM138A,0,0,0,0
FAM138F,0,0,0,0
OR4F5,0,0,0,0
LOC729737,7.61127240318131,18.2229627740628,227.696603923577,0
LOC100132287,0,0,0,0
LOC100132062,0,0,0,0
LOC100133331,5.58159976233296,5.46688883221883,0,0
OR4F29,0,0,0,0
OR4F16,0,0,0,0
OR4F3,0,0,0,0
LOC100288069,2.02967264084835,1.56196823777681,0,0
LINC00115,25.8783261708165,11.9750898229555,0,0
FAM41C,0,0,0,0
SAMD11,12.6854540053022,1.30164019814734,0,0
NOC2L,549.533867509691,517.792470823012,0,157.398875592076
KLHL17,28.922835132089,45.8177349747864,0,0
PLEKHN1,3.55192712148461,11.4544337436966,0,0
HES4,157.299629665747,78.6190679680994,160.72701453429,0
ISG15,709.370587976498,1062.39872972786,29881.8307855,50997.2356918327
AGRN,328.806967817433,206.960791505427,602.726304503586,157.398875592076
RNF223,0,4.16524863407149,0,0
C1orf159,77.6349785124494,54.4085602825589,0,0
MIR200B,0,0,0,0
MIR200A,0,0,0,0
MIR429,0,0.260328039629468,0,0
TTLL10,5.58159976233296,3.38426451518309,0,0
TNFRSF18,30.4450896127252,69.2472585414386,26.7878357557149,0
TNFRSF4,25.8783261708165,71.0695548188448,107.15134302286,0
SDF4,1061.01137300347,675.030606759211,656.301976015016,1259.19100473661
B3GALT6,160.34413862702,106.213840168823,214.302686045719,0
UBE2J2,520.10361421739,373.570736868287,26.7878357557149,0
SCNN1D,28.922835132089,2.34295235666521,0,0
ACAP3,122.287776611113,39.8301900633086,0,0
PUSL1,53.2789068222692,54.4085602825589,26.7878357557149,0
TAS1R3,9.64094504402966,1.04131215851787,0,0
DVL1,156.284793345323,176.762738908409,13.3939178778575,0
MXRA8,520.611032377602,41.6524863407149,53.5756715114299,0
AURKAIP1,964.094504402966,487.854746265624,294.666193312864,157.398875592076
CCNL2,2519.83858361323,1395.61862045358,13.3939178778575,314.797751184153
LOC148413,145.629011980869,94.2387503458675,40.1817536335724,0
MRPL20,759.097567677283,557.362332846692,53.5756715114299,944.393253552458
ANKRD65,24.3560716901802,16.660994536286,0,0
TMEM88B,0,0,0,0
VWA1,505.895905731451,68.2059463829207,281.272275435007,0
ATAD3C,52.264070501845,3.90492059444202,40.1817536335724,0
ATAD3B,327.792131497008,176.762738908409,0,0
ATAD3A,150.70319358299,216.072272892459,0,0
TMEM240,17.7596356074231,2.86360843592415,0,0
SSU72,1329.94299791588,672.947982442175,1567.08839170932,786.994377960382
MIB2,100.976213882205,39.5698620236792,0,157.398875592076
MMP23B,0.507418160212087,0,0,0
MMP23A,0,0,0,0
CDK11B,456.676344190879,149.948950826574,26.7878357557149,0
SLC35E2B,163.388647588292,81.743004443653,93.7574251450023,0
CDK11A,192.311482720381,60.9167612732956,0,0
NADK,665.732626198259,359.252694688666,1607.2701453429,1573.98875592076
GNB1,4815.90575857292,3793.50019348061,9590.04520054595,8342.14040638005
CALML6,1.52225448063626,0.780984118888405,0,0
TMEM52,9.64094504402966,2.86360843592415,0,0
GABRD,12.1780358450901,0.520656079258937,0,0
PRKCZ,210.071118327804,134.329268448806,0,0
SKI,328.806967817433,275.687393967607,803.635072671448,0
MORN1,29.4302532923011,4.9462327529599,0,0
LOC100129534,4.0593452816967,4.42557667370096,0,0
RER1,906.756252299,1043.91543891417,817.028990549306,0
PEX10,81.186905633934,13.5370580607323,0,0
PLCH2,0,4.16524863407149,0,0
PANK4,152.225448063626,263.972632184281,0,0
HES5,2.02967264084835,3.90492059444202,0,0
TNFRSF14,912.337852061333,917.135683614617,133.939178778575,314.797751184153
FAM213B,132.436139815355,107.7758084066,66.9695893892873,0
MMEL1,11.670617684878,42.1731424199739,0,0
TTC34,0,0.260328039629468,0,0
ACTRT2,0,0,0,0
PRDM16,68.5014516286318,134.849924528065,53.5756715114299,0
MIR4251,0,1.04131215851787,0,0
ARHGEF16,12.6854540053022,9.11148138703139,93.7574251450023,0
MEGF6,196.87824616229,63.5200416695903,241.090521801434,0
MIR551A,0,0,0,0
TPRG1L,738.800841268799,443.859307568243,0,157.398875592076
WRAP73,143.091921179809,211.907024258387,13.3939178778575,0
TP73,7.10385424296922,9.37180942666086,66.9695893892873,0
TP73-AS1,272.990970194103,84.3462848399477,0,0
CCDC27,0,0,0,0
SMIM1,4.0593452816967,4.68590471333043,0,0
LRRC47,353.670457667825,210.34505602061,0,0
CEP104,98.439123081145,88.7718615136487,0,0
DFFB,64.4421063469351,21.3468992496164,0,0
C1orf174,120.258103970265,117.147617833261,80.3635072671448,0
AJAP1,4.56676344190879,32.0203488744246,0,0
MIR4689,0,0,0,0
NPHP4,97.9317049209329,79.1397240473584,26.7878357557149,0
KCNAB2,283.646751558557,140.837469439542,0,0
CHD5,18.2670537676351,2.60328039629468,0,0
RPL22,3863.48187185483,1926.68782129769,3013.63152251793,1731.38763151284
RNF207,39.5786164965428,17.7023066948038,0,0
ICMT,371.93751143546,128.862379616587,160.72701453429,0
HES3,0,0,0,0
GPR153,103.513304683266,20.8262431703575,0,0
ACOT7,346.059185264644,103.870887812158,107.15134302286,0
HES2,17.252217447211,11.4544337436966,0,0
ESPN,1.01483632042417,0.780984118888405,0,0
MIR4252,0,0,0,0
TNFRSF25,103.005886523054,104.912199970676,0,0
PLEKHG5,77.6349785124494,54.4085602825589,0,0
NOL9,180.640865035503,138.234189043248,160.72701453429,0
